"","HomeTeam","AwayTeam","Season","Date","FTHG","FTAG","FTR","HTHG","ATHG","HTR","OddsH","OddsD","OddsA","BetVictorH","BetVictorD","BetVictorA","tenBetH","tenBetD","tenBetA","EighteenBetH","EighteenBetD","EighteenBetA","UnibetH","UnibetD","UnibetA","bwinH","bwinD","bwinA","PinnacleH","PinnacleD","PinnacleA"
"2:233","Cork City","Bohemians",8,"2016-03-04",2,0,"H",0,0,"D",1.62,3.8,5.75,1.62,3.8,5.75,1.63,3.65,5.4,1.64,3.68,5.07,1.6,3.75,5.5,1.53,3.6,6,1.67,3.93,5.88
"2:618","Finn Harps","Derry City",8,"2016-03-04",2,1,"H",1,0,"H",3.5,3,2.25,3.5,3,2.25,3.55,3,2.15,3.47,2.95,2.2,3.6,3,2.25,3.4,2.8,2.25,3.81,3.14,2.25
"2:1063","St. Patricks","Galway",8,"2016-03-04",1,3,"A",0,0,"D",1.62,3.9,5.5,1.62,3.9,5.5,1.59,3.7,5.85,1.63,3.52,5.5,1.5,4.15,5.5,1.53,3.7,5.75,1.63,3.94,6.37
"2:1179","Wexford","Longford",8,"2016-03-04",0,2,"A",0,1,"A",2.3,3.3,3.1,2.3,3.3,3.1,2.2,3.2,3.15,2.27,3.2,3.05,2.3,3.25,3,2.35,3.1,2.85,2.38,3.39,3.24
"2:167","Bray","Dundalk",8,"2016-03-05",1,3,"A",1,2,"A",7,4.1,1.5,7,4.1,1.5,7,4.05,1.45,6.57,3.82,1.5,6.75,4.15,1.45,6.5,3.9,1.45,7.45,4.35,1.51
"2:969","Sligo Rovers","Shamrock Rovers",8,"2016-03-05",0,2,"A",0,1,"A",3.4,3.2,2.2,3.4,3.2,2.2,3.3,3.1,2.2,3.23,3.17,2.2,3,3.2,2.3,3.1,3.1,2.2,3.53,3.29,2.29
"2:97","Bohemians","Sligo Rovers",8,"2016-03-11",1,0,"H",1,0,"H",2.15,3.13,3.6,2.15,3.13,3.6,2.1,3.2,3.5,2.17,3.25,3.25,2.15,3.2,3.35,2.05,3.2,3.3,2.18,3.35,3.73
"2:325","Derry City","Cork City",8,"2016-03-11",1,0,"H",0,0,"D",6,3.6,1.62,6,3.6,1.62,5.65,3.5,1.65,4.95,3.6,1.68,5.1,3.65,1.65,4.6,3.5,1.67,6.21,3.69,1.69
"2:538","Dundalk","Finn Harps",8,"2016-03-11",3,0,"H",1,0,"H",1.17,6.5,19,1.17,6.5,19,1.17,6.15,16.25,1.21,5.9,12,1.17,6,17,1.19,5.75,12,1.23,6.58,17.2
"2:641","Galway","Bray",8,"2016-03-11",4,0,"H",0,0,"D",2.3,3.4,3.1,2.3,3.4,3.1,2.25,3.35,2.95,2.25,3.39,2.9,2.3,3.25,3,2.1,3.3,3.1,2.37,3.56,3.1
"2:755","Longford","St. Patricks",8,"2016-03-11",0,1,"A",0,0,"D",4.3,3.4,1.87,4.3,3.4,1.87,4.15,3.45,1.83,3.8,3.45,1.9,4,3.5,1.85,4.1,3.3,1.8,4.45,3.64,1.9
